,count,mean,std,min,25%,50%,75%,max
Open,5394.0,-1.6861229176361294e-16,1.0000927084783895,-1.5125351042777764,-0.901295552072051,0.12454285204998565,0.7557570457935507,3.1744462497708086
High,5394.0,-1.264592188227097e-16,1.0000927084783893,-1.512084615702208,-0.9035152597897549,0.1242935913898414,0.7539042530737464,3.1550749637209186
Low,5394.0,0.0,1.0000927084783895,-1.511029127628574,-0.901393856630339,0.1272654768116803,0.7492621017249314,3.179407249139372
Close,5394.0,-1.264592188227097e-16,1.0000927084783895,-1.5122719303869157,-0.9024326238676987,0.12384143267218314,0.7529833072966257,3.162169672223604
Volume,5394.0,-6.322960941135485e-17,1.0000927084783895,-0.7733400340456308,-0.6981210667941063,-0.4282177137151066,0.2841501526081549,3.664579033794315
