Date,Open,High,Low,Close,Volume
2000-08-30,-1.4808107489307816,-1.4823596312218064,-1.4791340344402897,-1.4807162388860993,-0.7733400340456308
2000-08-31,-1.4793000750999552,-1.4750118874026492,-1.4776152302885806,-1.4733308697288456,-0.7733400340456308
2000-09-01,-1.4756072713135704,-1.4771827943392244,-1.4739025521394264,-1.475512893153621,-0.7733400340456308
2000-09-05,-1.4776215372379458,-1.4791867476365623,-1.4759276586754375,-1.4775271080254229,-0.7644907437807456
2000-09-06,-1.4803071568372326,-1.4818586174161472,-1.4786277320559875,-1.4802126595563427,-0.7733400340456308
2000-09-07,-1.4806428848995985,-1.4821926266199201,-1.4789652669788556,-1.4805483791095138,-0.22025939249030357
2000-09-08,-1.4818178818929693,-1.4833616078704754,-1.480146587708295,-1.481723346322,-0.7733400340456308
2000-09-11,-1.4821535587304249,-1.483695566111599,-1.4804840711305647,-1.482059014651559,-0.7733400340456308
2000-09-12,-1.4824892867927908,-1.4840295753153716,-1.4808216060534327,-1.4823947342047301,-0.7733400340456308
2000-09-13,-1.4826571508239739,-1.484196579917258,-1.4809903735148666,-1.4825625939813156,-0.7733400340456308
2000-09-14,-1.4833285557237956,-1.4848645473621542,-1.4816653918600042,-1.4832339818640456,-0.7733400340456308
2000-09-15,-1.4834964197549785,-1.4850315519640407,-1.4818341593214384,-1.4834018416406312,-0.7733400340456308
2000-09-18,-1.4850070935858048,-1.4865344914557195,-1.4833529634731473,-1.4849124771826765,-0.7733400340456308
2000-09-19,-1.4841678246548002,-1.4856995194089369,-1.4825091776665758,-1.484073229523361,-0.7733400340456308
2000-09-20,-1.4890355742096453,-1.4905423470877461,-1.487403125044571,-1.4889408557026682,-0.7733400340456308
2000-09-21,-1.4868534954789974,-1.4883714401511712,-1.4852093025477244,-1.4867588322778929,-0.7733400340456308
2000-09-22,-1.4843356886859833,-1.4858665240108233,-1.4826779451280099,-1.4842410892999465,-0.7733400340456308
2000-09-25,-1.4804750208684154,-1.4820256220180337,-1.4787964995174216,-1.4803805193329282,-0.7733400340456308
2000-09-26,-1.4808107489307816,-1.4823596312218064,-1.4791340344402897,-1.4807162388860993,-0.7733400340456308
2000-09-28,-1.4747680023825658,-1.4763478222924418,-1.4771089279042786,-1.4778627763549819,2.0186110445256613
2000-09-29,-1.4796357519374108,-1.481190649971251,-1.4823404102051418,-1.4812197669922438,-0.6759978411318932
2000-10-02,-1.4826571508239739,-1.4830275986667028,-1.4814966243985703,-1.482059014651559,-0.06097216772236931
2000-10-03,-1.4838320965924343,-1.484196579917258,-1.4831841960117134,-1.4845767576295055,-0.6627239057345654
2000-10-04,-1.4865177674166312,-1.4872024589006159,-1.4855467859699938,-1.4867588322778929,-0.724668937588762
2000-10-05,-1.4868534954789974,-1.487870426345512,-1.485715553431428,-1.4862552529481365,-0.7467921632509751
2000-10-06,-1.487692764410002,-1.4885383937904082,-1.4868968741608675,-1.488437327596524,-0.7644907437807456
2000-10-09,-1.4888677101784624,-1.4887053983922947,-1.487234357583137,-1.4870945006074519,-0.7556414535158603
2000-10-10,-1.4833285557237956,-1.4848645473621542,-1.4816653918600042,-1.4832339818640456,-0.7158196473238768
2000-10-11,-1.4831606916926126,-1.4830275986667028,-1.4848717676248564,-1.4864231127247218,-0.6936964216616637
2000-10-12,-1.4806428848995985,-1.4781847709878932,-1.4789652669788556,-1.4765200005895218,-0.760066098648303
2000-10-13,-1.4803071568372326,-1.4818586174161472,-1.4816653918600042,-1.4832339818640456,-0.7733400340456308
2000-10-16,-1.484839229554622,-1.4863674868538332,-1.4831841960117134,-1.484744617406091,-0.7512168083834178
2000-10-17,-1.4855106344544435,-1.4870354542987294,-1.4838592143568508,-1.485416005288821,-0.7733400340456308
2000-10-18,-1.4868534954789974,-1.4883714401511712,-1.4852093025477244,-1.4867588322778929,-0.7733400340456308
2000-10-19,-1.487189172316453,-1.4887053983922947,-1.4855467859699938,-1.4870945006074519,-0.7689153889131882
2000-10-20,-1.4853427704232607,-1.486868449696843,-1.4836904468954168,-1.4852481455122355,-0.631751389807467
2000-10-23,-1.4845035014922559,-1.4860334776500603,-1.4855467859699938,-1.4870945006074519,-0.7689153889131882
2000-10-24,-1.487692764410002,-1.4887053983922947,-1.486053088354296,-1.4870945006074519,-0.7025457119265489
2000-10-25,-1.4937354597333075,-1.4937152306729904,-1.4924658398840003,-1.4936406221053902,-0.6848471313967784
2000-10-26,-1.4940711877956734,-1.4938822352748766,-1.4943221789585772,-1.4958226967537775,-0.7733400340456308
2000-10-27,-1.494910456726678,-1.4963871514152245,-1.4951659647651487,-1.4966619444130929,-0.7689153889131882
2000-10-30,-1.4969247226510534,-1.4983911047125626,-1.4953347322265829,-1.4968298041896784,-0.7644907437807456
2000-10-31,-1.4965889945886874,-1.4972221234620071,-1.4949971973037148,-1.4958226967537775,-0.7733400340456308
2000-11-01,-1.4975961275508751,-1.4990590721574588,-1.4960097505717205,-1.4975011920724084,-0.7733400340456308
2000-11-02,-1.4967568586198705,-1.4982241001106762,-1.4951659647651487,-1.4966619444130929,-0.7733400340456308
